,length,width,curb-weight,engine-size,horsepower,make,fuel-type,aspiration,drive-wheels,price
0,176.6,66.2,2337.0,109.0,102.0,audi,gas,std,fwd,13950.0
1,176.6,66.4,2824.0,136.0,115.0,audi,gas,std,4wd,17450.0
2,192.7,71.4,2844.0,136.0,110.0,audi,gas,std,fwd,17710.0
3,192.7,71.4,3086.0,131.0,140.0,audi,gas,turbo,fwd,23875.0
4,176.8,64.8,2395.0,108.0,101.0,bmw,gas,std,rwd,16430.0
5,176.8,64.8,2395.0,108.0,101.0,bmw,gas,std,rwd,16925.0
6,176.8,64.8,2710.0,164.0,121.0,bmw,gas,std,rwd,20970.0
7,176.8,64.8,2765.0,164.0,121.0,bmw,gas,std,rwd,21105.0
8,141.1,60.3,1488.0,61.0,48.0,chevrolet,gas,std,fwd,5151.0
9,155.9,63.6,1874.0,90.0,70.0,chevrolet,gas,std,fwd,6295.0
10,158.8,63.6,1909.0,90.0,70.0,chevrolet,gas,std,fwd,6575.0
11,157.3,63.8,1876.0,90.0,68.0,dodge,gas,std,fwd,5572.0
12,157.3,63.8,1876.0,90.0,68.0,dodge,gas,std,fwd,6377.0
13,157.3,63.8,2128.0,98.0,102.0,dodge,gas,turbo,fwd,7957.0
14,157.3,63.8,1967.0,90.0,68.0,dodge,gas,std,fwd,6229.0
15,157.3,63.8,1989.0,90.0,68.0,dodge,gas,std,fwd,6692.0
16,157.3,63.8,1989.0,90.0,68.0,dodge,gas,std,fwd,7609.0
17,157.3,63.8,2191.0,98.0,102.0,dodge,gas,turbo,fwd,8558.0
18,174.6,64.6,2535.0,122.0,88.0,dodge,gas,std,fwd,8921.0
19,173.2,66.3,2811.0,156.0,145.0,dodge,gas,turbo,fwd,12964.0
20,144.6,63.9,1713.0,92.0,58.0,honda,gas,std,fwd,6479.0
21,144.6,63.9,1819.0,92.0,76.0,honda,gas,std,fwd,6855.0
22,150.0,64.0,1837.0,79.0,60.0,honda,gas,std,fwd,5399.0
23,150.0,64.0,1940.0,92.0,76.0,honda,gas,std,fwd,6529.0
24,150.0,64.0,1956.0,92.0,76.0,honda,gas,std,fwd,7129.0
25,163.4,64.0,2010.0,92.0,76.0,honda,gas,std,fwd,7295.0
26,157.1,63.9,2024.0,92.0,76.0,honda,gas,std,fwd,7295.0
27,167.5,65.2,2236.0,110.0,86.0,honda,gas,std,fwd,7895.0
28,167.5,65.2,2289.0,110.0,86.0,honda,gas,std,fwd,9095.0
